,Index,Lender name,Rate type,Initial rate,Initial Period,Ongoing rate,Ending Loan,Interest Paid,Capital Paid,Overpayments,Fee,Total costs (excl. capital)
0,234,HSBC,Fixed,2.74,60,5.0,71771.44394125805,11771.443941258061,27228.556058741946,14781.925482581984,349.0,12120.443941258061
0,641,HSBC,Fixed,2.74,60,5.0,71771.44394125805,11771.443941258061,27228.556058741946,14781.925482581984,349.0,12120.443941258061
0,417,Principality Building Society,Discount,1.55,24,4.9,71226.84899035403,11226.848990354016,27773.151009645968,17085.20269426287,895.0,12121.848990354016
0,557,Post Office,Fixed,2.45,60,4.99,70443.20360333614,10443.203603336151,28556.796396663864,15683.943041491266,1690.0,12133.203603336151
0,447,Barclays,Fixed,1.85,36,4.99,70186.46728793472,10186.467287934765,28813.53271206528,16937.480670665293,1950.0,12136.467287934765
0,69,NatWest Intermediary Solutions,Fixed,2.08,24,4.49,72139.86318017435,12139.863180174323,26860.136819825653,15925.21455170565,0.0,12139.863180174323
0,184,BM Solutions,Fixed,2.55,60,4.84,70898.92053104172,10898.920531041713,28101.079468958284,15375.110860633564,1290.0,12188.920531041713
0,17,Platform,Fixed,1.64,24,4.74,70217.77772423215,10217.777724232152,28782.222275767854,17264.27236281819,1999.0,12216.777724232152
0,476,Platform,Fixed,2.09,24,4.74,72221.6199559995,12221.619955999535,26778.3800440005,15865.58710936155,0.0,12221.619955999535
0,72,State Bank of India,Fixed,2.09,36,4.49,71230.03203039267,11230.032030392724,27769.96796960733,16218.823740833406,995.0,12225.032030392724
0,478,State Bank of India,Fixed,2.09,36,4.49,71230.03203039267,11230.032030392724,27769.96796960733,16218.823740833406,995.0,12225.032030392724
0,70,TSB Intermediary ,Fixed,2.09,24,4.84,72236.31994606937,12236.319946069383,26763.680053930628,15854.332835585714,0.0,12236.319946069383
0,477,TSB Intermediary ,Fixed,2.09,24,4.84,72236.31994606937,12236.319946069383,26763.680053930628,15854.332835585714,0.0,12236.319946069383
0,73,Platform,Fixed,2.09,36,4.74,71248.16806699587,11248.168066995879,27751.831933004127,16205.120310989407,999.0,12247.168066995879
0,449,Virgin Money Intermediary,Fixed,1.87,24,4.99,71272.53248292557,11272.532482925595,27727.46751707443,16528.999788512996,995.0,12267.532482925595
0,265,Godiva Mortgages Limited,Fixed,2.85,60,4.74,72280.60523820244,12280.60523820243,26719.394761797565,14434.691361926745,0.0,12280.60523820243
0,666,Principality Building Society,Fixed,2.85,60,4.9,72280.60523820244,12280.60523820243,26719.394761797565,14434.691361926745,0.0,12280.60523820243
0,455,BM Solutions,Fixed,1.99,24,4.84,71786.95401529307,11786.954015293097,27213.04598470693,16170.42686357865,495.0,12281.954015293097
0,454,Hanley Economic Building Society ,Fixed,1.99,24,5.19,71838.14211803647,11838.142118036474,27161.85788196353,16130.819614296222,449.0,12287.142118036474
0,483,Principality Building Society,Fixed,2.1,24,4.9,72290.20820235723,12290.208202357224,26709.79179764277,15815.777722732246,0.0,12290.208202357224
0,589,Principality Building Society,Fixed,2.55,60,4.9,70898.92053104172,10898.920531041713,28101.079468958284,15375.110860633564,1395.0,12293.920531041713
0,204,Platform,Fixed,2.64,60,4.74,71311.12960353395,11311.129603533956,27688.870396466053,15095.171246995427,999.0,12310.129603533956
0,612,Platform,Fixed,2.64,60,4.74,71311.12960353395,11311.129603533956,27688.870396466053,15095.171246995427,999.0,12310.129603533956
0,35,Principality Building Society,Fixed,1.8,24,4.9,70948.14299384913,10948.142993849135,28051.857006150865,16756.097985779048,1395.0,12343.142993849135
0,257,BM Solutions,Fixed,2.8,60,4.84,72048.80165740743,12048.801657407446,26951.198342592572,14592.870075258936,295.0,12343.801657407446
0,44,Godiva Mortgages Limited,Fixed,1.89,36,4.74,70347.56260529111,10347.562605291081,28652.43739470889,16827.981177964688,1999.0,12346.562605291081
0,179,Accord Mortgages,Fixed,2.54,60,4.99,70853.24039618068,10853.240396180674,28146.759603819315,15406.099011920824,1495.0,12348.240396180674
0,586,Accord Mortgages,Fixed,2.54,60,4.99,70853.24039618068,10853.240396180674,28146.759603819315,15406.099011920824,1495.0,12348.240396180674
0,618,Accord Mortgages,Fixed,2.66,60,4.99,71402.99807277345,11402.998072773466,27597.00192722655,15032.70717707355,950.0,12352.998072773466
0,42,Virgin Money Intermediary,Fixed,1.89,24,4.99,71361.69717054989,11361.69717054983,27638.302829450113,16466.719943066655,995.0,12356.69717054983
0,441,Principality Building Society,Discount,1.8,24,4.9,72384.20823657472,12384.208236574777,26615.79176342528,16261.944975203161,0.0,12384.208236574777
0,152,TSB Intermediary ,Fixed,2.44,60,4.84,70397.76423028563,10397.764230285595,28602.235769714374,15714.697813008488,1995.0,12392.764230285595
