,CapitalPaid,CapitalPaymentDue,DealNum,FeePaid,Fees,InterestDue,InterestRate,LTV,Loan,Month,OverpaymentPaid,PropertyPrice,RemainingTerm,num
33,195.429888751,-395.299887076,1,0,0,199.869998325,0.0258,0.545690353117,92767.3600298,33,0,170000,327,3.0
34,195.850063012,-395.299887076,1,0,0,199.449824064,0.0258,0.544538293922,92571.5099668,34,0,170000,326,3.0
35,196.271140647,-395.299887076,1,0,0,199.028746429,0.0258,0.543383757801,92375.2388262,35,0,170000,325,3.0
36,196.6931236,-395.299887076,1,0,0,198.606763476,0.0258,0.542226739427,92178.5457026,36,0,170000,324,3.0
37,197.116013815,-395.299887076,1,0,0,198.183873261,0.0258,0.541067233463,91981.4296888,37,0,170000,323,3.0
38,197.539813245,-395.299887076,1,0,0,197.760073831,0.0258,0.539905234562,91783.8898755,38,0,170000,322,3.0
39,197.964523844,-395.299887076,1,0,0,197.335363232,0.0258,0.538740737363,91585.9253517,39,0,170000,321,3.0
40,198.39014757,-395.299887076,1,0,0,196.909739506,0.0258,0.537573736495,91387.5352041,40,0,170000,320,3.0
41,198.816686387,-395.299887076,1,0,0,196.483200689,0.0258,0.536404226575,91188.7185177,41,0,170000,319,3.0
42,199.244142263,-395.299887076,1,0,0,196.055744813,0.0258,0.535232202208,90989.4743754,42,0,170000,318,3.0
43,199.672517169,-395.299887076,1,0,0,195.627369907,0.0258,0.53405765799,90789.8018583,43,0,170000,317,3.0
